year_month,PM25,PM10,NO_2,O_3,SO_2,categoria_PM25,categoria_PM10,categoria_NO_2,categoria_O_3,categoria_SO_2,Calidad_Aire_General
2008-09,14.12674659816043,27.013005745909663,54.02481131802266,41.4114161494408,8.081211650727695,1,2,2,1,1,Bueno
2008-10,17.243703114662736,33.992498631623086,59.785975638022215,28.338045458147263,8.936616245007494,2,2,2,1,1,Bueno
2008-11,13.799219746225674,20.895523391199017,60.289580687488424,23.332243850842335,13.896631475647876,1,1,2,1,1,Bueno
2008-12,16.409536070154424,24.162287440631232,69.86196934161117,18.96394988681685,17.197641087842115,2,1,2,1,1,Bueno
2009-01,12.532863179174884,19.311485099736903,57.313962984535316,24.66278984918551,14.790502342481782,1,1,2,1,1,Bueno
2009-02,13.940339852993175,23.6703865969439,65.38281771068783,27.39680198204385,15.64652217896977,1,1,2,1,1,Bueno
2009-03,13.50033681008823,25.295823477432908,59.16701380319896,43.008151215914594,12.832535821238585,1,2,2,1,1,Bueno
2009-04,11.102296793865127,19.705018834123138,51.436055222292325,53.34762326211094,9.80213802734394,1,1,2,1,1,Bueno
2009-05,11.373532788896698,25.12757146784437,46.321842842688135,54.81049338506492,7.965607838384614,1,2,1,1,1,Bueno
2009-06,12.285179608929061,25.503473795164336,45.28123309989335,61.22221332417926,7.351936688498356,1,2,1,2,1,Bueno
2009-07,12.84615523907413,29.113572137698405,47.03988087522633,61.714246285618486,7.710263570038139,1,2,1,2,1,Bueno
2009-08,13.637685291701874,29.001290702514627,48.54585969203988,65.78540298075934,7.70965860385706,1,2,1,2,1,Bueno
2009-09,13.285248602162286,25.9833479176662,50.285251498564314,57.57451654452281,7.6866627709185,1,2,2,1,1,Bueno
2009-10,13.77208664923413,26.799850983305287,65.36702945755543,29.792213070983507,8.812607848169945,1,2,2,1,1,Bueno
2009-11,14.38157747197729,26.40348419810941,62.76763133315646,27.58413554263728,11.741767065240953,1,2,2,1,1,Bueno
2009-12,10.656565814782736,17.030524101828497,53.813774062488235,25.63492583054345,11.861211380416703,1,1,2,1,1,Bueno
2010-01,10.58185439486425,16.38128489711005,47.057500780066995,31.210502071888346,12.0677684556405,1,1,1,1,1,Muy Bueno
2010-02,9.441490466788867,15.140553284841054,45.48357376520243,40.615906496331526,12.02553399936657,1,1,1,1,1,Muy Bueno
2010-03,13.900458737101737,25.268565428335584,41.35574998118028,51.00331422554593,12.311399008062414,1,2,1,1,1,Bueno
2010-04,10.203496989799683,18.764204791105044,37.77849141262983,62.65190283058628,10.234123373043671,1,1,1,2,1,Bueno
2010-05,11.622038157780965,19.77908764531382,28.228746482059652,66.14449681442916,9.580099075478584,1,1,1,2,1,Bueno
2010-06,10.486236004710197,18.93749785667581,34.918583812642176,60.019922670415546,7.103484807781855,1,1,1,2,1,Bueno
2010-07,14.148561862514736,27.500596668033047,41.5198159674087,68.07384012576205,6.905945914484192,1,2,1,2,1,Bueno
2010-08,14.544502926325938,30.273589224527605,34.95812831440701,63.63584853862731,6.920772680030342,1,2,1,2,1,Bueno
2010-09,12.18573786569405,25.966924566325957,48.607899948877346,46.126904332687786,7.251955056223976,1,2,1,1,1,Bueno
2010-10,13.127490869154725,25.373169066188836,58.9725578197608,32.677696392565544,9.316527533823313,1,2,2,1,1,Bueno
2010-11,11.207919900886184,18.018650520170127,53.34398930601858,29.126971862353642,10.336881502998098,1,1,2,1,1,Bueno
2010-12,11.618093854697712,19.348657330694515,58.421472516474346,19.686504665977697,11.969733499377543,1,1,2,1,1,Bueno
2011-01,12.137458501561653,20.078445241718786,55.5831817156267,21.262576982344545,11.790788800579364,1,1,2,1,1,Bueno
2011-02,13.191685337316406,23.698720337930176,61.56410575427683,29.377120904919433,10.983440250634045,1,1,2,1,1,Bueno
2011-03,10.340342857142858,18.815186731355073,40.75365592004969,49.54506892895016,8.247936121261334,1,1,1,1,1,Muy Bueno
2011-04,13.470464135021096,27.27108574091333,40.117124441089366,59.88583108983946,6.65655153125437,1,2,1,1,1,Bueno
2011-05,11.114001357159013,20.15541530485743,36.54533693328833,59.42450914014895,6.147098698481562,1,1,1,1,1,Muy Bueno
2011-06,12.302607076350093,23.850835182805746,37.05070357018258,65.60648240206801,6.241451500348918,1,1,1,2,1,Bueno
2011-07,10.966807909604519,21.940062362859454,30.391399082568807,68.98133595284872,5.682010654282202,1,1,1,2,1,Bueno
2011-08,12.61367207962284,25.3127417794971,34.00917327930666,63.181284862473554,5.601380617217109,1,2,1,2,1,Bueno
2011-09,12.699810606060606,27.19932036559644,50.09395659041713,50.40013917884482,5.197714922669639,1,2,2,1,1,Bueno
2011-10,13.150501672240802,28.707577975453216,50.25861101761472,34.00374747765927,3.8650975117686617,1,2,2,1,1,Bueno
2011-11,11.985866543095458,19.897994667903095,47.633234662487666,21.388176850471933,5.620170177151625,1,1,1,1,1,Muy Bueno
2011-12,13.539842873176207,22.84641255605381,55.66249157492698,16.440119472010792,7.321577601292233,1,1,2,1,1,Bueno
2012-01,14.366764110636383,20.997863488136737,58.95501574448943,15.122356785851595,9.33346850500135,1,1,2,1,1,Bueno
2012-02,10.508784773060029,16.14261542180324,48.039780272848,34.087610160705026,8.50799651061355,1,1,1,1,1,Muy Bueno
2012-03,10.815381155835395,22.236134548318145,43.01590960197886,43.08362268518518,5.953287430808694,1,1,1,1,1,Muy Bueno
2012-04,7.712573443008226,13.71232238527836,26.442511346444782,56.37104027180973,2.757737011623022,1,1,1,1,1,Muy Bueno
2012-05,10.773414579101782,22.352994045612853,32.44054569952841,53.52390131071704,2.6582534755027667,1,1,1,1,1,Muy Bueno
2012-06,13.480289246559366,38.92112315041361,26.75908746134547,57.41711820188642,2.6678360931799046,1,2,1,1,1,Bueno
2012-07,12.558999081726354,30.809820821047857,28.729373309287645,64.74807247494218,2.742150333016175,1,2,1,2,1,Bueno
2012-08,15.287550744248986,42.20969370582296,29.04904876816881,53.684326923076924,2.4095801937567276,2,2,1,1,1,Bueno
2012-09,11.985159010600707,22.741411544753447,33.61393618876039,48.192919649960224,2.3021602787456446,1,1,1,1,1,Muy Bueno
2012-10,11.530337078651685,20.084688726864833,46.09764857736124,26.279515058212258,3.014272249899017,1,1,1,1,1,Muy Bueno
2012-11,10.014581373471307,16.701456027955736,40.42378685860228,24.091546474358974,4.5950782997762865,1,1,1,1,1,Muy Bueno
2012-12,12.50067234424025,15.755351339235682,50.03700787401575,17.706869934388266,5.6633023819136055,1,1,2,1,1,Bueno
2013-01,10.553635709143268,14.19580338511477,44.28777676329605,26.713877108196076,5.336220142478,1,1,1,1,1,Muy Bueno
2013-02,8.973229922441831,11.55935162094763,38.34026782933665,35.599551617380165,5.196532655806307,1,1,1,1,1,Muy Bueno
2013-03,7.537037037037037,11.77304964539007,28.55133828160144,48.27457233980864,3.9870689655172415,1,1,1,1,1,Muy Bueno
2013-04,8.993031358885018,16.555942837225516,26.62290049808873,58.82337714058144,3.4442431000836353,1,1,1,1,1,Muy Bueno
2013-05,7.9401076716016155,14.171675263511998,25.678918130295717,64.945,2.910010793308149,1,1,1,2,1,Bueno
2013-06,9.490141498492228,21.76062717770035,24.013137151865475,74.15911379657604,2.8796981975688136,1,1,1,2,1,Bueno
2013-07,12.790886532822016,30.310790877113355,28.835199004975124,82.80046202714409,3.2292490118577075,1,2,1,2,1,Bueno
2013-08,11.488779174147217,28.368940754039496,25.524973313107477,73.9722917067539,3.348815293484114,1,2,1,2,1,Bueno
2013-09,10.96656605525888,22.004988399071927,37.369905227048086,53.51586591067343,3.5993036211699163,1,1,1,1,1,Muy Bueno
2013-10,10.17309007981756,19.133287997279837,41.30500196485713,29.099633840817113,3.907008086253369,1,1,1,1,1,Muy Bueno
2013-11,8.270207314232472,14.084117578714999,39.416463485429006,29.400837571043972,6.217494419642857,1,1,1,1,1,Muy Bueno
2013-12,11.938063063063064,15.88752808988764,56.65949679883185,21.600885637273777,9.027762803234502,1,1,2,1,1,Bueno
2014-01,8.601887216355875,13.036471776456066,38.27570513540847,34.379573317887825,5.851726929303831,1,1,1,1,1,Muy Bueno
2014-02,7.812733150957473,12.412181479179615,35.38248075490439,40.987305312566676,5.16982539919415,1,1,1,1,1,Muy Bueno
2014-03,10.898097826086957,18.986582478295187,38.30747191011236,50.563120840968274,6.438393097870046,1,1,1,1,1,Muy Bueno
2014-04,9.636321519573778,17.264647870982714,29.60456207557026,53.566978503184714,4.708333333333333,1,1,1,1,1,Muy Bueno
2014-05,9.931339225016995,17.163882618510158,24.739381697806206,72.21334233105176,3.647384034519957,1,1,1,2,1,Bueno
2014-06,10.550835654596101,20.21785631248547,25.66436808251724,76.14786842889794,3.826783723522854,1,1,1,2,1,Bueno
2014-07,11.20556552962298,21.363295880149813,27.45589396503102,76.2682642864073,4.148318872017353,1,1,1,2,1,Bueno
2014-08,10.431097008159565,22.2406520747834,23.07089278664486,71.71176527926698,4.189262842349094,1,1,1,2,1,Bueno
2014-09,10.949544498948844,20.196604215456674,32.9936760269204,52.687450199203184,3.8018169112508735,1,1,1,1,1,Muy Bueno
2014-10,13.625197205318909,26.847650101191814,44.33150916784203,34.91962129262873,3.816378845116028,1,2,1,1,1,Bueno
2014-11,11.234864546525325,21.324090324090324,41.53222900319675,33.25544077825695,5.437963351517695,1,1,1,1,1,Muy Bueno
2014-12,12.391904761904762,19.85951815405497,59.23509593421654,21.871643552670402,9.158548104169478,1,1,2,1,1,Bueno
2015-01,12.080108359133128,18.210165619645917,66.19191408007198,22.7045191193511,9.712299176454705,1,1,2,1,1,Bueno
2015-02,8.316012725344645,12.035345717234263,36.109240553685,47.8032927090015,6.427950868783703,1,1,1,1,1,Muy Bueno
2015-03,10.197487787857641,16.992460589444825,41.606965734896306,45.38885125326623,7.163395153648301,1,1,1,1,1,Muy Bueno
2015-04,8.532836516068933,18.011660447761194,29.25796608180271,64.66811961479979,5.331855242454584,1,1,1,2,1,Bueno
2015-05,8.66636176537846,20.807805763557976,28.415249465029845,70.41547802621434,5.213505863323898,1,1,1,2,1,Bueno
2015-06,11.42232630757221,22.633681622618315,30.710469650235698,82.23464802795806,5.3147993311036785,1,1,1,2,1,Bueno
2015-07,12.241433429244049,28.74443907156673,33.29014227642276,77.74844720496894,4.912459283387622,1,2,1,2,1,Bueno
2015-08,10.279535624857727,25.770121466681804,26.289705384354892,69.2824074074074,5.5966239027684,1,2,1,2,1,Bueno
2015-09,8.133085155886459,16.345443993035403,35.619953461314715,56.615346038114346,6.080453337064503,1,1,1,1,1,Muy Bueno
2015-10,10.504430811179278,17.827327498010686,42.200755653301755,32.17537566650509,6.660694896851249,1,1,1,1,1,Muy Bueno
2015-11,14.532208948231435,21.962090283448035,56.46351730589336,24.118167202572348,8.905562561300266,1,1,2,1,1,Bueno
2015-12,22.465587044534413,32.11930732036433,64.67039325842697,14.492475400347288,11.119050829176217,2,2,2,1,1,Bueno
2016-01,12.065256525652565,14.621770388676701,42.03736634777715,30.615607215202083,8.790133441164578,1,1,1,1,1,Muy Bueno
2016-02,10.099686973272334,21.24161154539988,35.59396235492213,43.005758354755784,8.45774953055034,1,1,1,1,1,Muy Bueno
2016-03,8.826892655367232,13.73466396030672,36.19795125795013,52.58115942028986,8.548169166328874,1,1,1,1,1,Muy Bueno
2016-04,6.246680642907058,10.629888268156424,32.385141796671114,54.07047713717694,7.742029792565781,1,1,1,1,1,Muy Bueno
2016-05,7.072784810126582,12.936964366260712,30.86118469255481,60.95351551103764,7.262209067671196,1,1,1,2,1,Bueno
2016-06,9.20642418516769,21.14605137963844,30.073953488372094,66.7292249300839,7.947079521463758,1,1,1,2,1,Bueno
2016-07,10.997748761819,25.675508598403958,30.925501432664756,78.61637099884304,5.792391744233104,1,2,1,2,1,Bueno
2016-08,9.867483548899479,24.488569488456314,28.57567248834728,71.29354000192548,5.922558014031301,1,1,1,2,1,Bueno
2016-09,11.523141654978962,23.70207798272239,43.38998835855646,52.12908692185008,6.873690093614643,1,1,1,1,1,Muy Bueno
2016-10,12.35901491188432,23.855653750283253,49.1005282085862,32.51523680124224,7.464533696392103,1,1,1,1,1,Muy Bueno
2016-11,11.10707502374169,17.900229773854154,48.88941231892592,24.21545180409691,7.858485111303845,1,1,1,1,1,Muy Bueno
2016-12,15.120171673819742,20.079104279846298,55.68684872439813,18.782227268035918,10.023439974659487,2,1,2,1,1,Bueno
2017-01,13.389226955149876,19.65831923293852,53.18029102758582,25.87019089574156,10.371193748315818,1,1,2,1,1,Bueno
2017-02,11.853066332916145,25.897025743564107,42.51820728291317,37.02221030042919,8.782135401133313,1,2,1,1,1,Bueno
2017-03,9.179643421349583,17.05116331601536,40.95607424071991,48.51259530933308,8.20745542949757,1,1,1,1,1,Muy Bueno
2017-04,7.860438024231128,17.24403369209172,30.65302915672467,68.799,5.381510962156123,1,1,1,2,1,Bueno
2017-05,7.835712667119873,16.59784702549575,30.404014207588656,66.82069572014852,5.108316430020284,1,1,1,2,1,Bueno
2017-06,10.448086124401915,23.904086935979212,31.438700234192037,72.32034018426648,5.539689325922759,1,1,1,2,1,Bueno
2017-07,9.16715875539405,22.9033171063059,32.92530487804878,64.59319583654587,5.323441734417345,1,1,1,2,1,Bueno
2017-08,9.4785151856018,23.368379624423703,27.96274377184083,65.73126640101079,6.221533486053093,1,1,1,2,1,Bueno
2017-09,8.290208969241606,16.847447728069152,39.92524345442883,51.71365770806274,6.920446516885686,1,1,1,1,1,Muy Bueno
2017-10,9.40693225298222,20.202643171806166,53.03441477976794,33.58370384689735,5.063457627118644,1,1,2,1,1,Bueno
2017-11,11.517273576097105,20.31717289719626,62.454503249767875,21.465302046929605,8.066218675626487,1,1,2,1,1,Bueno
2017-12,11.096599864895294,15.935353080301836,53.367709735307315,23.29425398358281,7.341961106546152,1,1,2,1,1,Bueno
2018-01,9.659122220035426,15.155433866891324,48.531392276993984,25.47342481638964,6.380752002171848,1,1,1,1,1,Muy Bueno
2018-02,8.834441346772465,13.742207342415147,45.906248057196144,35.52125732551944,6.204806687565308,1,1,1,1,1,Muy Bueno
2018-03,4.630443714050945,8.029896150215043,29.478721008781807,58.96793200038636,4.441053342336259,1,1,1,1,1,Muy Bueno
2018-04,7.70953488372093,17.30491376505044,31.010706388921214,59.165211281742444,4.579058327477161,1,1,1,1,1,Muy Bueno
2018-05,2.6666666666666665,4.461538461538462,29.125,56.357142857142854,4.5,1,1,1,1,1,Muy Bueno
