date,PM25,PM10,NO_2,O_3,SO_2,categoria_PM25,categoria_PM10,categoria_NO_2,categoria_O_3,categoria_SO_2,Calidad_Aire_General
2016-10-13,5.986111111111111,8.923913043478262,30.157342657342657,37.0251572327044,7.924050632911392,1,1,1,1,1,Muy Bueno
2016-10-14,8.375,11.996527777777779,30.127622377622377,35.05688622754491,7.337552742616034,1,1,1,1,1,Muy Bueno
2016-10-15,11.604166666666666,16.11111111111111,41.85069444444444,39.92261904761905,7.345833333333333,1,1,1,1,1,Muy Bueno
2016-10-16,11.222222222222221,16.100694444444443,46.082142857142856,37.07738095238095,7.425,1,1,1,1,1,Muy Bueno
2016-10-17,13.852112676056338,19.509225092250922,53.550621669627,22.860119047619047,8.556485355648535,1,1,2,1,1,Bueno
2016-10-18,10.041666666666666,14.22027972027972,40.60243055555556,27.99404761904762,7.080508474576271,1,1,1,1,1,Muy Bueno
2016-10-19,15.066666666666666,18.353790613718413,52.114583333333336,15.345238095238095,7.159663865546219,2,1,2,1,1,Bueno
2016-10-20,16.131944444444443,19.09090909090909,45.21006944444444,10.794642857142858,7.273109243697479,2,1,1,1,1,Bueno
2016-10-21,15.881944444444445,23.39236111111111,45.66319444444444,15.8125,7.3940677966101696,2,1,1,1,1,Bueno
2016-10-22,15.506944444444445,20.57986111111111,41.16840277777778,13.238095238095237,6.311111111111111,2,1,1,1,1,Bueno
2016-10-23,4.527777777777778,7.260416666666667,20.755208333333332,37.145833333333336,7.675,1,1,1,1,1,Muy Bueno
2016-10-24,5.493055555555555,9.440972222222221,37.28173913043478,37.651651651651655,6.725738396624473,1,1,1,1,1,Muy Bueno
2016-10-25,9.07638888888889,21.95486111111111,41.83826086956522,23.35928143712575,5.828193832599119,1,1,1,1,1,Muy Bueno
2016-10-26,17.52777777777778,59.291666666666664,50.16958041958042,15.36890243902439,7.115555555555556,2,3,2,1,1,Regular
2016-10-27,17.59722222222222,50.625,53.14736842105263,20.046439628482972,6.878661087866109,2,3,2,1,1,Regular
2016-10-28,18.82638888888889,42.65277777777778,51.64,20.017964071856287,6.4375,2,2,2,1,1,Bueno
2016-10-29,16.993055555555557,28.802083333333332,53.39756944444444,21.8125,7.05,2,2,2,1,1,Bueno
2016-10-30,11.055944055944057,15.184668989547038,59.86608695652174,28.52238805970149,7.602510460251046,1,1,2,1,1,Bueno
2016-10-31,13.17361111111111,22.03125,73.36631944444444,19.928571428571427,7.535564853556485,1,1,2,1,1,Bueno
2016-11-01,18.01388888888889,25.62847222222222,59.46875,25.967261904761905,7.24537037037037,2,2,2,1,1,Bueno
2016-11-02,19.82638888888889,32.857142857142854,63.55419580419581,18.702380952380953,7.292887029288703,2,2,2,1,1,Bueno
2016-11-03,19.21897810218978,41.644128113879006,67.37719298245614,13.562874251497005,9.033333333333333,2,2,2,1,1,Bueno
2016-11-04,15.38888888888889,28.645833333333332,59.282986111111114,9.164670658682635,6.345833333333333,2,2,2,1,1,Bueno
2016-11-05,5.731884057971015,7.340425531914893,26.241319444444443,37.330128205128204,5.575,1,1,1,1,1,Muy Bueno
2016-11-06,3.5785123966942147,5.581132075471698,26.380208333333332,44.98397435897436,5.920833333333333,1,1,1,1,1,Muy Bueno
